latitude,longitude,depth,mag,gap,rms,nst,cluster
-27.8358,-71.6196,10.0,5.2,139.0,0.91,51.0,-1
35.3135,-117.80833333333,7.77,0.92,87.0,0.15,25.0,1
59.349,-152.146,66.1,1.5,121.0,0.6,14.0,2
18.739,-66.473666666667,15.4,2.72,275.0,0.11,10.0,3
52.678333333333,-169.78483333333,14.64,1.04,305.0,0.25,4.0,2
38.4529,-116.5204,1.0038,1.53,186.0,0.1293,14.0,1
41.6487,141.9958,58.829,4.2,108.0,0.73,24.0,-1
51.325,-179.776,10.1,2.5,202.0,0.5,17.0,2
33.5695,-116.63116666667,11.16,0.46,39.0,0.13,30.0,1
55.187,165.3069,10.0,5.0,71.0,0.62,89.0,-1
32.107,-101.922,11.5479,0.7,85.0,0.1,14.0,1
31.676,-104.471,6.0486,1.8,70.0,0.3,23.0,1
51.442,-175.915,29.0,1.9,234.0,0.3,16.0,2
17.958166666667,-66.587,13.09,2.11,135.0,0.11,9.0,3
57.275,-154.977,52.7,1.8,100.0,0.4,19.0,2
51.358,-177.355,20.9,2.2,217.0,0.4,19.0,2
58.294833333333,-154.99283333333,3.27,0.42,127.0,0.15,14.0,2
38.832332611084,-122.81583404541,1.7599999904633,0.7,73.0,0.01,9.0,1
32.434,-102.121,8.1299,1.2,77.0,0.2,28.0,1
38.847831726074,-122.84583282471,1.460000038147,1.17,133.0,0.01,6.0,1
5.2678,125.5928,10.0,4.8,105.0,1.0,38.0,-1
38.830833435059,-122.81500244141,2.2200000286102,0.81,67.0,0.02,16.0,1
37.5055,-118.83783333333,7.51,0.27,123.0,0.05,17.0,1
17.99,-64.0091,126.0,4.04,305.0,0.34,20.0,-1
33.6665,-116.7035,17.96,0.54,87.0,0.12,17.0,1
40.4085,-111.9285,3.64,0.95,92.0,0.17,17.0,1
38.847499847412,-122.84750366211,1.1200000047684,0.81,105.0,0.04,14.0,1
51.308,-177.648,36.1,1.9,232.0,0.3,16.0,2
4.7679,125.396,31.967,4.6,103.0,0.68,27.0,-1
40.425498962402,-125.22533416748,0.66000002622604,2.84,284.0,0.3,33.0,-1
-26.0978,-177.5824,184.016,4.6,73.0,0.79,34.0,-1
52.8425,-169.897,7.74,0.52,207.0,0.19,4.0,2
63.545,-147.881,0.9,1.5,55.0,0.6,26.0,2
32.462,-101.549,7.9346,1.7,62.0,0.1,39.0,1
35.095333333333,-119.10133333333,13.12,1.77,55.0,0.22,47.0,1
35.308,-117.81516666667,8.85,2.04,34.0,0.17,54.0,1
38.846668243408,-122.84799957275,1.0199999809265,0.57,154.0,0.02,7.0,1
38.846332550049,-122.84750366211,1.1200000047684,0.72,102.0,0.02,12.0,1
38.845165252685,-122.84733581543,1.289999961853,0.72,98.0,0.01,12.0,1
38.846000671387,-122.84816741943,0.80000001192093,1.03,100.0,0.03,17.0,1
38.846332550049,-122.84799957275,0.81999999284744,0.72,101.0,0.03,10.0,1
32.075,-103.678,8.0994,1.3,87.0,0.1,21.0,1
56.961,-154.328,11.5,1.6,133.0,0.6,13.0,2
37.967998504639,-122.05766296387,13.159999847412,1.44,67.0,0.08,11.0,1
4.8778,125.4356,49.891,5.5,45.0,0.8,76.0,-1
38.848167419434,-122.84600067139,1.3400000333786,0.28,134.0,0.01,9.0,1
33.525,-116.7315,5.03,1.4,27.0,0.2,68.0,1
38.847667694092,-122.8476638794,0.99000000953674,1.04,105.0,0.04,18.0,1
38.847999572754,-122.84716796875,0.52999997138977,0.77,106.0,0.05,16.0,1
38.846168518066,-122.84750366211,1.0099999904633,1.11,159.0,0.03,17.0,1
61.503,-149.905,39.0,2.1,31.0,0.8,51.0,2
51.96,160.6456,35.0,4.1,197.0,0.95,16.0,-1
38.848834991455,-122.84683227539,1.0,1.29,109.0,0.03,18.0,1
38.845832824707,-122.84583282471,0.87999999523163,1.97,71.0,0.04,35.0,1
34.004,-117.22066666667,5.25,0.93,70.0,0.16,26.0,1
38.847332000732,-122.84700012207,1.0499999523163,0.77,104.0,0.02,17.0,1
38.832332611084,-122.80816650391,2.2200000286102,1.05,57.0,0.01,17.0,1
38.84400177002,-122.8253326416,1.5,0.59,104.0,0.01,9.0,1
36.114833333333,-89.741,7.64,1.83,48.0,0.03,29.0,1
33.336833333333,-116.8165,6.12,0.58,48.0,0.17,20.0,1
46.575333333333,-119.88233333333,8.72,0.67,120.0,0.12,7.0,1
33.3315,-116.81666666667,4.82,0.88,30.0,0.21,38.0,1
38.818832397461,-122.76499938965,1.8899999856949,0.71,111.0,0.01,5.0,1
33.507333333333,-116.496,14.48,0.17,66.0,0.09,14.0,1
32.765833333333,-115.446,7.59,1.1,86.0,0.15,18.0,1
4.8951,125.3373,35.0,4.9,104.0,0.9,45.0,-1
38.783832550049,-122.7851638794,3.289999961853,0.81,90.0,0.02,19.0,1
39.2743,-119.1128,6.9977,1.6,70.0,0.1812,14.0,1
-22.6385,-175.9409,46.618,4.8,125.0,0.81,38.0,-1
33.7175,-117.06316666667,10.89,0.92,93.0,0.1,19.0,1
33.507333333333,-116.45016666667,3.0,0.8,47.0,0.19,28.0,1
39.215166666667,-123.277,2.61,1.22,65.0,0.07,15.0,1
33.9725,-116.83983333333,15.26,1.23,35.0,0.15,47.0,1
38.832500457764,-122.80816650391,2.329999923706,0.44,95.0,0.02,8.0,1
38.832332611084,-122.80850219727,2.2599999904633,1.4,45.0,0.02,34.0,1
-19.0625,-172.365,10.0,5.4,59.0,1.8,70.0,-1
4.8122,125.3097,35.0,5.1,71.0,0.59,55.0,-1
40.768333333333,-111.667,10.58,1.1,114.0,0.08,13.0,1
40.779,-111.66716666667,12.45,2.11,43.0,0.17,39.0,1
32.007,-103.801,7.7405,1.2,78.0,0.1,16.0,1
64.976,-147.355,5.0,1.1,67.0,0.3,10.0,2
52.8185,-169.8665,3.46,0.24,164.0,0.12,5.0,2
38.827667236328,-122.80216979981,0.95999997854233,1.06,64.0,0.02,15.0,1
52.837,-169.9125,10.1,0.56,160.0,0.14,4.0,2
38.830001831055,-122.81483459473,2.0199999809265,0.74,63.0,0.01,10.0,1
34.51283333,-97.26066667,0.0,1.5,44.0,0.4,38.0,1
64.935,-147.762,5.0,0.7,80.0,0.6,9.0,2
55.95,-159.97,8.2,1.5,162.0,0.5,12.0,2
58.3,-154.8505,28.82,0.08,161.0,0.24,13.0,2
35.866666666667,-117.70266666667,7.4,0.75,53.0,0.12,20.0,1
52.804166666667,-169.9425,7.51,0.02,237.0,0.13,4.0,2
33.101166666667,-116.558,14.09,0.93,65.0,0.2,34.0,1
55.933,-159.7505,9.53,1.31,332.0,0.25,6.0,2
35.69183333,-98.05283333,8.36,1.81,92.0,0.46,65.0,1
31.677,-104.312,5.9973,1.5,84.0,0.2,13.0,1
57.366,-154.805,52.9,1.5,131.0,0.6,11.0,2
-23.9914,-66.8709,200.68,4.4,68.0,0.91,30.0,-1
60.241,-152.694,119.5,1.9,86.0,0.7,71.0,-1
